timestamp,level,source,message,error
2025-11-06T19:08:18,INFO,main,Pipeline start,
2025-11-06T19:08:28,INFO,update_data_api_fudo,Cargando dataframes,
2025-11-06T19:08:28,INFO,update_data_api_fudo,[Arguibel] Descargando desde sale_id 842,
2025-11-06T19:08:29,INFO,update_data_api_fudo,[Polo] Descargando desde sale_id 1513,
2025-11-06T19:08:45,INFO,update_data_api_fudo,Actualizando items.csv (todas las sucursales),
2025-11-06T19:08:46,INFO,update_data_api_fudo,Actualizando ventas.csv (todas las sucursales),
2025-11-06T19:08:47,INFO,update_data_api_fudo,"Update completed: {'ventas_added': 78, 'items_added': 117}",
2025-11-06T19:08:47,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-06T19:08:47,INFO,process_data,Guardando dataframes en excel,
2025-11-06T19:08:47,ERROR,process_data,Processing failed,[Errno 13] Permission denied: 'C:\\Users\\facun\\OneDrive\\Documentos\\GitHub\\hit_cafe\\procesado\\items.xlsx'
2025-11-06T19:09:34,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-06T19:09:34,INFO,process_data,Guardando dataframes en excel,
2025-11-06T19:09:34,ERROR,process_data,Unhandled error in standalone run,[Errno 13] Permission denied: 'C:\\Users\\facun\\OneDrive\\Documentos\\GitHub\\hit_cafe\\procesado\\items.xlsx'
2025-11-06T19:10:14,INFO,main,Pipeline start,
2025-11-06T19:10:21,INFO,update_data_api_fudo,Cargando dataframes,
2025-11-06T19:10:22,INFO,update_data_api_fudo,[Arguibel] Descargando desde sale_id 848,
2025-11-06T19:10:22,INFO,update_data_api_fudo,[Polo] Descargando desde sale_id 1565,
2025-11-06T19:10:27,INFO,update_data_api_fudo,Actualizando items.csv (todas las sucursales),
2025-11-06T19:10:28,INFO,update_data_api_fudo,Actualizando ventas.csv (todas las sucursales),
2025-11-06T19:10:29,INFO,update_data_api_fudo,"Update completed: {'ventas_added': 20, 'items_added': 24}",
2025-11-06T19:10:29,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-06T19:10:29,INFO,process_data,Guardando dataframes en excel,
2025-11-06T19:10:29,ERROR,process_data,Processing failed,[Errno 13] Permission denied: 'C:\\Users\\facun\\OneDrive\\Documentos\\GitHub\\hit_cafe\\procesado\\items.xlsx'
2025-11-06T19:11:01,INFO,main,Pipeline start,
2025-11-06T19:11:11,INFO,update_data_api_fudo,Cargando dataframes,
2025-11-06T19:11:11,INFO,update_data_api_fudo,[Arguibel] Descargando desde sale_id 848,
2025-11-06T19:11:12,INFO,update_data_api_fudo,[Polo] Descargando desde sale_id 1565,
2025-11-06T19:11:17,INFO,update_data_api_fudo,Actualizando items.csv (todas las sucursales),
